O,Elapsed,User,System
2,0:07.88,7.62,0.19
2,0:08.11,8.00,0.08
2,1:03.19,61.97,0.78
3,0:08.60,8.30,0.22
3,0:10.05,9.88,0.15
3,1:01.95,60.68,0.85
